Project Type,Budget Line,Budget Line Title,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount,Total Budget $
HW,HW 0274,"GRADE, PAVE, ETC. BROOKVILLE BOULEVARD, ETC.",2019,8418698,20640000,0,0,29058698
HW,HW 0299,"GRADE, PAVE, ETC. RICHMOND HILL ROAD, ETC.",2019,0,2802998,0,0,2802998
HW,HW 0348,"ENGR., ARCH., ADMIN. COSTS FOR HIGHWAY OPERATIONS CAPITAL PROJECTS",2019,20795490,5200000,3800000,4000000,33795490
HW,HW 0349,REPAVING & RESURFACING STREETS- INHOUSE FORCES,2019,144315446,119866000,119437000,121787000,505405446
HW,HW 0384,"REHABILITATION OF THE 47TH AND 49TH STREET BRIDGES, QUEENS",2019,0,0,200000,0,200000
HW,HW 0411,"GRADE, PAVE, ETC. 94TH STREET, ETC.",2019,904049,0,0,0,904049
HW,HW 0614,"RECONSTRUCTION OF BERGEN AVE & STS IN VIC OF AVE T & E71, BKLYN",2019,986443,0,0,0,986443
HW,HW 0710,RECONSTRUCTION OF PELHAM PARKWAY,2019,2134951,0,0,0,2134951
HW,HW 0724,"RECONSTRUCTION OF BROOKVILLE BOULEVARD, QUEENS",2019,1000400,0,0,0,1000400
HW,HW 0788,"RECONSTRUCTION OF 11TH STREET, QUEENS",2019,0,28474500,0,0,28474500
HW,HW 0788,"RECONSTRUCTION OF 11TH STREET, QUEENS",2019,0,1920000,0,0,1920000
HW,HW 0796,"RECONSTRUCTION OF SCHENCK AVENUE, BROOKLYN",2019,0,160000,0,0,160000
HW,HW 0796,"RECONSTRUCTION OF SCHENCK AVENUE, BROOKLYN",2019,0,4000000,0,0,4000000
HW,HW 0876,"RECONSTRUCTION OF WYCKOFF AVENUE, BROOKLYN",2019,579574,0,0,0,579574
HW,HW 0890,"RECONSTRUCTION OF WOODROW ROAD, STATEN ISLAND",2019,14173814,0,0,0,14173814
HW,HW 0919,"RECONSTRUCTION OF BLOOMINGDALE ROAD, STATEN ISLAND",2019,598293,33717000,0,0,34315293
HW,HW 0972,"RECONSTRUCTION OF BAYVIEW AVENUE, ETC., BROOKLYN",2019,0,181999,0,0,181999
HW,HW 0988,"HAZARD ELIMINATION PROGRAM, CITY WIDE",2019,12088662,22145000,17671000,1867000,53771662
HW,HW 1129,"RECONSTRUCT NOSTRAND AVE.,FLUSHING TO ATLANTIC AVES,BROOKLYN.",2019,4354,0,0,0,4354
HW,HW 1132,"RECONSTRUCTION OF MCLEAN AVENUE, STATEN ISLAND",2019,2556999,0,0,0,2556999
HW,HW 1140,"RECONST. ARTHUR KILL RD., W/O BLOOMNGDALE RD. TO BENTLEY ST., S.I.",2019,0,3660000,0,0,3660000
HW,HW 1148,"RECONSTRUCT JEWEL STREET AREA, BROOKLYN",2019,0,0,0,0,0
HW,HW 1153,DOWNTOWN BROOKLYN REHABILIATATION,2019,269999,0,0,0,269999
HW,HW 1666,"RECONSTRUCTION OF TIMES / DUFFY SQUARE AREA, MANHATTAN",2019,120260,0,0,0,120260
HW,HW 1670,"RECONSTRUCT ALL STREETS RELATED TO WTC AND CLEANUP, CITYWIDE",2019,0,3977,0,0,3977
HW,HW 1670,"RECONSTRUCT ALL STREETS RELATED TO WTC AND CLEANUP, CITYWIDE",2019,0,6734573,5619000,0,12353573
HW,HW 1672,GRAND CONCOURSE- LOU GEHRIG PLAZA,2019,504734,0,0,0,504734
HW,HW 1682,"RECONSTRUCTION OF MIDLAND AVENUE, STATEN ISLAND",2019,0,500000,0,0,500000
P,P  1246,HUDSON RIVER TRUST,2019,0,29100000,0,0,29100000
HW,HW 1684,"CONSTRUCTION OF STREETS, MALLS, SQUARES, TRIANGLES, PLANYC",2019,72329366,48843000,103231000,15295000,239698366
HW,HW 1684,"CONSTRUCTION OF STREETS, MALLS, SQUARES, TRIANGLES, PLANYC",2019,6701669,0,835000,0,7536669
HW,HW Q001,"CON & RECON OF HWYS & STS, QUEENS",2019,0,420,0,0,420
HW,HW R005,"GRADE, REGULATE AND PAVE VARIOUS STREETS, STATEN ISLAND",2019,111211,500000,154000,0,765211
HW,HW R200,"SIDEWALK CONSTRUCTION, STATEN ISLAND",2019,262,0,0,0,262
L,L  0103,"RECONSTRUCTION, ETC., RESEARCH LIBRARY BUILDINGS, VARIOUS LOC., MANH.",2019,799302,0,0,0,799302
LB,LB 0104,"CONSTRUCTION, SITE ACQUISITION AND F&E TO BRANCH LIBRARIES, BROOKLYN",2019,0,23311635,6701000,15698000,45710635
LB,LB K001,"CON, RECON, IMPVTS, ACQ, OUTFIT AND EQUIP, BRANCH LIBRARIES, BKLYN",2019,116497,0,55000,0,171497
LN,LN 0008,"CONS, SITE AQUISITION AND F&E FOR NYPL FACILITIES CITYWIDE",2019,22539288,21078000,16442000,15913000,75972288
LN,LN 0101M,"CONS, SITE AQUISITION & F&E, ALL NYPL FACILITIES, MAN. & SYSTEMWIDE",2019,0,0,0,0,0
LN,LN 0101M,"CONS, SITE AQUISITION & F&E, ALL NYPL FACILITIES, MAN. & SYSTEMWIDE",2019,4000,0,0,0,4000
LN,LN R001,"CONSTRUCTION, SITE AQUISITION AND F&E TO BRANCH LIBRARIES, S.I.",2019,14693,0,0,0,14693
LN,LN X001,"CONSTRUCTION, SITE AQUISITION AND F&E TO BRANCH LIBRARIES, THE BRONX",2019,847118,350000,0,0,1197118
LQ,LQ 0122,"IMPROVEMENT OF BRANCHES INCLUDING FURNITURE AND EQUIPMENT, QUEENS",2019,37256469,14098000,17984000,17424000,86762469
P,P  0056,ACQUISITION OF PROPERTY FOR PLAYGROUNDS AND PARKS,2019,1277000,1277000,0,0,2554000
P,P  0245K,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2019,9956830,64177000,0,0,74133830
P,P  0245K,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2019,2653297,44000,0,0,2697297
P,P  0245Q,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, QUEENS",2019,32561598,177916000,1035000,0,211512598
P,P  0245X,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRONX",2019,11396000,5522000,2716000,234000,19868000
P,P  0412,"PROSPECT PARK, IMPROVEMENTS",2019,0,0,0,0,0
P,P  0412,"PROSPECT PARK, IMPROVEMENTS",2019,168,0,0,0,168
P,P  0475,"EAST RIVER PARK, IMPROVEMENT",2019,394,0,0,0,394
P,P  0475,"EAST RIVER PARK, IMPROVEMENT",2019,24,0,0,0,24
P,P  0715,"ORCHARD BEACH, EXPANSION",2019,0,18083985,2070000,0,20153985
P,P  0819,"MCCARREN PARK, RENOVATION AND IMPROVEMENTS",2019,3135129,0,0,0,3135129
P,P  0822,"STREET AND PARK TREE PLANTING, CITYWIDE",2019,55788965,33985000,22917000,6778000,119468965
P,P  0839,DEVELOPMENT OF WATERFRONT PARK IN WILLIAMSBURG AND GREENPOINT,2019,15925211,14628000,702000,0,31255211
P,P  0887,"CITY ZOOS, CITYWIDE",2019,5874695,2003000,1106000,799000,9782695
P,P  0931,"COMMUNICATION SYSTEM DEVELOPMENT, CITY-WIDE",2019,199667,163000,166000,169000,697667
P,P  0933,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF PARKS AND RECREATION,2019,10679284,15585000,16037000,15988000,58289284
P,P  0950,COMPUTER EQUIPMENT,2019,0,5361678,4006000,4583000,13950678
P,P  1008,"RECONST., INTERMEDIATE POOLS, EQUIPMENT, AND BATHHOUSES",2019,0,0,0,0,0
P,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2019,608460151,390457000,151167000,33135000,1183219151
P,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2019,0,7206239,0,0,7206239
P,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2019,6087661,0,0,0,6087661
P,P  1239,"RECON. LINDEN PLAZA/ROBERT VENEBLE PARK, BROOKLYN",2019,0,93,0,0,93
P,P  1249,"CONSTRUCTION & RECONSTRUCTION OF ROOFING SYSTEMS, CITYWIDE",2019,0,330569,1454000,1483000,3267569
P,P  1250,"RECONSTRUCTION/REPLACEMENT OF BOILERS, CITYWIDE",2019,4475019,4964000,5075000,5197000,19711019
P,P  1300,"IMPROVEMENTS TO CENTRAL PARK, MANHATTAN",2019,11604228,6000000,6000000,6000000,29604228
P,P  K001,"PROSPECT PARK, IMPROVEMENTS, BROOKLYN",2019,400439,5000,0,0,405439
P,P  K011,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2019,0,802474,0,0,802474
P,P  M245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",2019,4559040,1400000,0,0,5959040
P,P  Q003,"MISCELLANEOUS PARKS, PLAYGROUNDS AND STRUCTURES: QUEENS",2019,0,621,0,0,621
P,P  Q245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, QUEENS",2019,0,3583875,2405000,0,5988875
P,P  Q771,"FOREST PARK RECONSTRUCTION, QUEENS",2019,81,0,0,0,81
P,P  Q847,"RECONSTRUCTION OF ROY WILKINS PARK, QUEENS",2019,799540,0,0,0,799540
P,P  Q938,"EVERGREEN PARK, QUEENS",2019,357,0,0,0,357
P,P  X003,"PURCHASE OF EQUIPMENT FOR THE DEPT. OF PARKS AND RECREATION, THE BRONX",2019,1247,0,0,0,1247
PO,PO 0002,"CONSTRUCTION OF A NEW 116th PRECINCT STATION HOUSE, QUEENS",2019,66450000,1000000,0,0,67450000
PO,PO 0005,"SITE ACQUISITION AND CONS FOR A NEW PROPERTY CLERK FACILITY, QUEENS",2019,0,305000000,0,0,305000000
PO,PO 0046,ULTRA HIGH FREQUENCY RADIO TELEPHONE EQUIPMENT,2019,38353519,38290000,6500000,10000000,93143519
PO,PO 0079,"IMPROVEMENTS TO POLICE DEPARTMENT PROPERTY, CITYWIDE",2019,301700940,54771000,14500000,13000000,383971940
PO,PO 0111,MARINE LAUNCHES FOR HARBOR UNIT,2019,4977921,2225000,2000000,337000,9539921
PO,PO 0127,HELICOPTERS,2019,0,16500472,0,0,16500472
PO,PO 0163,ACQUISITION AND INSTALLATION OF COMPUTER EQUIPMENT,2019,54234572,21768000,4500000,10290000,90792572
PO,PO 0185,"VEHICLES OF AT LEAST $35,000 AFTER NOVEMBER 1, 1999",2019,13784489,8263000,6426000,11154000,39627489
PO,PO 0187,PURCHASE OF NEW EQUIPMENT FOR POLICE DPT. USE,2019,581278,12167000,1739000,1449000,15936278
PO,PO Q185,"PURCHASE AND INSTALLATION OF EQUIPMENT, QUEENS",2019,489,0,0,0,489
PO,PO X079,"IMPROVEMENTS TO POLICE DEPARTMENT PROPERTY, THE BRONX",2019,3288,0,0,0,3288
PU,PU 0016,"PURCHASE OF ELECTRONIC DATA PROCESSING SOFTWARE, HARDWARE AND INFRA.",2019,81111087,151340000,95368000,87724000,415543087
PU,PU 0016A,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIPMENT FOR FISA,2019,0,0,6842589,7951000,14793589
PU,PU 0025,ENERGY EFFICIENCY AND SUSTAINABILITY,2019,268562725,371914000,304649000,306713000,1251838725
PU,PU 0100,CITYWIDE RESILIENCY MEASURES,2019,0,256600000,0,0,256600000
PU,PU 0200,CITYWIDE AGENCY FACILITY AND OPERATIONAL PROTECTIVE MEASURES,2019,183322000,49598000,5067000,0,237987000
PV,PV 0040,FLUSHING TOWN HALL,2019,182597,105000,0,0,287597
PV,PV 0101,RECONSTRUCTION AND IMPROVEMENTS TO THE MUSEUM OF JEWISH HERITAGE,2019,4000,0,0,0,4000
PV,PV 0103,"EL MUSEO DEL BARRIO, MANHATTAN",2019,0,0,402,0,402
PV,PV 0175,"STATEN ISLAND ZOOLOGICAL SOCIETY, IMPROVEMENTS",2019,140397,0,0,0,140397
PV,PV 0176,"NEW YORK ZOOLOGICAL SOCIETY, IMPROVEMENTS",2019,295151,0,0,0,295151
PV,PV 0205,"NEW YORK BOTANICAL GARDENS, IMPROVEMENTS",2019,0,0,0,0,0
PV,PV 0205,"NEW YORK BOTANICAL GARDENS, IMPROVEMENTS",2019,2000000,0,0,0,2000000
PV,PV 0230,"NEW YORK AQUARIUM, IMPROVEMENTS",2019,0,0,0,0,0
PV,PV 0230,"NEW YORK AQUARIUM, IMPROVEMENTS",2019,1000000,0,0,0,1000000
PV,PV 0234,"CLEMENTE SOTO VELEZ CULTURAL AND EDUCATIONAL CENTER, INC.",2019,510000,0,0,0,510000
PV,PV 0272,"QUEENS BOTANICAL GARDEN SOCIETY, IMPROVEMENTS",2019,0,1163977,0,0,1163977
PV,PV 0274,"HALL OF SCIENCE, FLUSHING MEADOW PARK, ADDITIONS, BETTERMENTS",2019,974717,0,0,0,974717
PV,PV 0302,"STATEN ISLAND INSTITUTE OF ARTS AND SCIENCES, IMPROVEMENTS",2019,0,22598,0,0,22598
PV,PV 0341,"RICHMONDTOWN/LATOURETTE PARK, IMPROVEMENTS",2019,449953,0,0,0,449953
PV,PV 0467,"CONSTRUCTION, IMPROVEMENTS, ACQUISITION, ALL CULTURAL INSTITUTIONS",2019,4079324,6061000,3505000,3500000,17145324
PV,PV 0471,"BRONX MUSEUM OF THE ARTS, IMPROVEMENTS",2019,0,40000,0,0,40000
PV,PV 0502,"JAMAICA ARTS CENTER, RECONSTRUCTION AND IMPROVEMENTS",2019,0,96828,0,0,96828
PV,PV 0N019,ALVIN AILEY AMERICAN DANCE THEATER,2019,42000,0,0,0,42000
PV,PV 0N072,BROOKLYN HISTORICAL SOCIETY,2019,0,65659,0,0,65659
PV,PV 0N122,"DANCE THEATER OF HARLEM, INC.",2019,258000,0,0,0,258000
PV,PV 0N195,"AN CLAIDHEAMH SOLUIS, INC. / IRISH ARTS CENTER",2019,0,0,0,0,0
PV,PV 0N195,"AN CLAIDHEAMH SOLUIS, INC. / IRISH ARTS CENTER",2019,4500000,0,0,0,4500000
PV,PV 0N219,MANHATTAN CLASS COMPANY INC.,2019,747897,0,0,0,747897
PV,PV 0N394,SOUTH STREET SEAPORT MUSEUM,2019,0,108000,0,0,108000
PV,PV 0N409,SYMPHONY SPACE,2019,0,0,14999,0,14999
PV,PV 0N655,"COLONIAL FARMHOUSE RESTORATION SOCIETY OF BELLEROSE, INC.",2019,0,0,53057,0,53057
PV,PV 0N677,BRONX RIVER ART CENTER,2019,621622,0,0,0,621622
PV,PV 0N694,SOCIETY OF THE EDUCATIONAL ARTS,2019,0,0,236183,0,236183
PV,PV 0N789,"TOWN HALL FOUNDATION, INC.",2019,11374,0,0,0,11374
PV,PV 0N791,"THEATER FOR THE NEW CITY FOUNDATION, INC.",2019,59115,0,0,0,59115
PV,PV 0N831,"GINA GIBNEY DANCE, INC.",2019,35000,0,0,0,35000
PV,PV 0N860,JACQUES MARCHAIS MUSEUM OF TIBETAN ART,2019,0,63000,0,0,63000
PV,PV 0N954,NOBLE MARITIME COLLECTION,2019,0,156000,0,0,156000
PV,PV K236,"BROOKLYN BOTANIC GARDEN, IMPROVEMENTS",2019,911701,0,0,0,911701
PV,PV K264,"BROOKLYN ACADEMY OF MUSIC, IMPROVEMENTS",2019,636,0,0,0,636
PV,PV KN053,BILLIE HOLIDAY THEATER,2019,471,0,0,0,471
PV,PV KN072,BROOKLYN HISTORICAL SOCIETY,2019,37417,0,0,0,37417
PV,PV KN717,"EYEBEAM, INC.",2019,490,0,0,0,490
PV,PV KN767,"ROOFTOP FILMS, INC",2019,101,0,0,0,101
PV,PV M788,THE 122 COMMUNITY CENTER INC.,2019,3550,0,0,0,3550
PV,PV MN122,"DANCE THEATER OF HARLEM, INC.",2019,417,0,0,0,417
PV,PV MN255,MANHATTAN NEIGHBORHOOD NETWORK FIREHOUSE,2019,0,250,0,0,250
PV,PV MN256,MANHATTAN THEATER CLUB,2019,127,0,0,0,127
PV,PV MN329,"PLAYWRIGHTS HORIZONS, INC.",2019,143,0,0,0,143
PV,PV MN409,SYMPHONY SPACE,2019,0,225,0,0,225
PV,PV MN421,CHILDREN'S MUSEUM OF THE ARTS,2019,0,227,0,0,227
PV,PV MN454,WNYC NEW YORK PUBLIC RADIO,2019,121483,0,0,0,121483
PV,PV MN461,YORK THEATER,2019,258,0,0,0,258
PV,PV MN612,EAST HARLEM ARTS AND EDUCATION LDC (HECKSCHER BLDG.),2019,40000,0,0,0,40000
PV,PV MN772,HOME FOR CONTEMPORARY THEATRE & ART,2019,34829,0,0,0,34829
PV,PV MN789,"TOWN HALL FOUNDATION, INC.",2019,35000,0,0,0,35000
PV,PV MN791,"THEATER FOR THE NEW CITY FOUNDATION, INC.",2019,13000,0,0,0,13000
PV,PV MN831,"GINA GIBNEY DANCE, INC.",2019,79,0,0,0,79
PV,PV MN848,METROPOLITAN OPERA GUILD,2019,249,0,0,0,249
PV,PV Q040,FLUSHING TOWN HALL,2019,195,0,0,0,195
PV,PV Q050,"MUSEUM OF THE MOVING IMAGE, THE AMERICAN",2019,841,0,0,0,841
PV,PV Q466,QUEENS THEATER IN THE PARK IMPROVEMENTS,2019,75,0,0,0,75
PV,PV Q501,"P.S.1 (ART INSTITUTE), RECONSTRUCTION AND IMPROVEMENTS",2019,241326,0,0,0,241326
PV,PV Q502,"JAMAICA ARTS CENTER, RECONSTRUCTION AND IMPROVEMENTS",2019,600,0,0,0,600
PV,PV QN198,NOGUCHI MUSEUM,2019,84267,0,0,0,84267
PV,PV QN373,SCULPTURE CENTER,2019,1228,0,0,0,1228
PV,PV QN412,THALIA SPANISH THEATER,2019,1000000,0,0,0,1000000
PV,PV QN413,THEATER ET AL INC. D/B/A THE CHOCOLATE FACTORY,2019,396,0,0,0,396
PV,PV R341,"RICHMONDTOWN/LATOURETTE PARK, IMPROVEMENTS",2019,238454,0,0,0,238454
PV,PV X464,"WAVE HILL ENVIRONMENTAL CENTER IMPROVEMENTS, BRONX",2019,92936,0,0,0,92936
PV,PV XN448,BRONXNET,2019,513,0,0,0,513
PV,PV XN678,BRONX COUNCIL ON THE ARTS,2019,45,0,0,0,45
PV,PV XN719,FRIENDS OF WOODLAWN CEMETERY,2019,107980,0,0,0,107980
W,W  0014,KENSICO - CITY TUNNEL,2019,0,0,0,0,0
PW,PW 0077,"PUBLIC BUILDINGS & OTHER CITY PURPOSES, CITYWIDE",2019,100194693,61915000,118022000,13534000,293665693
PW,PW 0080,"2 LAFAYETTE STREET, MANHATTAN",2019,0,1000000,0,12000000,13000000
PW,PW 0195,"RECONSTRUCTION OF 80 CENTRE STREET, MANHATTAN",2019,338459,0,0,0,338459
PW,PW 0266,"125 WORTH STREET, MANHATTAN",2019,697331,0,0,0,697331
PW,PW 0282,"ADA COMPLIANCE, CITYWIDE",2019,0,0,0,12259619,12259619
PW,PW 0293,"LOCAL LAW 5 IMPROVEMENTS, CITYWIDE",2019,89541635,75700000,1825000,12572000,179638635
PW,PW 0308,PURCHASE OF EQUIPMENT FOR CITY PURPOSES,2019,607820,250000,258000,266000,1381820
PW,PW 0316,"280 BROADWAY, MANHATTAN",2019,5205542,0,0,0,5205542
PW,PW 0317,"LOCAL LAW 11 IMPROVEMENTS, CITYWIDE",2019,6003163,0,5837000,0,11840163
PW,PW 0322,"345 ADAMS STREET, BROOKLYN",2019,5418504,0,0,0,5418504
PW,PW 0324,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIPMENT FOR DCAS,2019,16009197,3742000,2400000,4342000,26493197
PW,PW 0325,"210 JORALEMON STREET, BROOKLYN",2019,908442,0,0,0,908442
PW,PW 0326,"IMPROVEMENTS TO LONG TERM LEASED FACILITIES, CITYWIDE.",2019,81814806,36308000,10000000,45723000,173845806
PW,PW 0335,"ABATEMENT OF UNSAFE CONDITIONS ON CITY PROPERTY, CITYWIDE",2019,0,1101826,0,0,1101826
PW,PW 0348,VAPOR CONTROL IMPROVEMENTS,2019,75801699,47592000,0,0,123393699
PW,PW 0357,"253 BROADWAY, MANHATTAN",2019,2045221,4800000,302000,0,7147221
PW,PW KN015,BROOKLYN BUREAU OF COMMUNITY SERVICE,2019,40000,0,0,0,40000
PW,PW KN317,OHEL CHILDREN'S HOME & FAMILY SERVICES,2019,200,0,0,0,200
PW,PW MN629,CATHOLIC HEALTH CARE/HOPE COMMUNITY.,2019,250,0,0,0,250
PW,PW QN317,OHEL CHILDREN'S HOME & FAMILY SERVICES,2019,211,0,0,0,211
PW,PW QN620,MASPETH TOWN HALL,2019,701,0,0,0,701
PW,PW XN630,MADISON SQUARE BOYS AND GIRLS CLUB,2019,301,0,0,0,301
PW,PW XN724,THE BRONX DEFENDERS,2019,275,0,0,0,275
PW,PW XN725,"BRONXWORKS, INC.",2019,351,0,0,0,351
RE,RE 0025,DEVELOPMENT OF CITY OWNED PROPERTY,2019,33585444,26407000,26185000,2337000,88514444
S,S  0129,COLLECTION TRUCKS AND EQUIPMENT,2019,214888406,197939000,156023000,160365000,729215406
S,S  0136,"GARAGES AND OTHER FACILITIES, IMPROVEMENTS",2019,85913659,193919000,14588000,163231000,457651659
S,S  0186,"SANITATION GARAGE FOR DISTRICT 3/3A, BROOKLYN",2019,167490575,200000,0,0,167690575
S,S  0195,"CONSTRUCTION OF SALT STORAGE SHEDS, CITY-WIDE",2019,5337656,3125000,0,0,8462656
S,S  0216,"CONSTRUCTION, RECONSTRUCTION MARINE TRANSFER STATIONS",2019,0,48076655,0,0,48076655
S,S  0222,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIPMENT FOR DPT. SANITATION,2019,0,0,0,2805590,2805590
S,S  0236,"CONSTRUCTION, MANHATTAN 6/8/8A GARAGE",2019,0,422805,0,0,422805
S,S  0248,"CONS OF SANITATION GARAGE DISTRICTS 9, 10 & 11, THE BRONX",2019,4195425,209484000,0,0,213679425
SE,SE 0001,PROFESSIONAL SERVICES FOR SANITARY AND COMBINED DRAINAGE PLAN PREP.,2019,0,0,0,0,0
SE,SE 0001,PROFESSIONAL SERVICES FOR SANITARY AND COMBINED DRAINAGE PLAN PREP.,2019,35598533,101810000,180131000,76731000,394270533
SE,SE 0002,CONSTRUCTION AND RECONSTRUCTION OF SANITARY AND COMBINED SEWERS,2019,0,0,0,0,0
SE,SE 0002,CONSTRUCTION AND RECONSTRUCTION OF SANITARY AND COMBINED SEWERS,2019,0,7393605,5000000,8916000,21309605
SE,SE 0002K,"CONSTRUCTION & RECONSTRUCTION OF SANITARY & COMBINED SEWERS, BROOKLYN",2019,47339,0,0,0,47339
SE,SE 0002K,"CONSTRUCTION & RECONSTRUCTION OF SANITARY & COMBINED SEWERS, BROOKLYN",2019,33777228,22684000,8744000,18579000,83784228
SE,SE 0002M,"CONSTR. & RECONSTR. SANITARY & COMBINED SEWERS, MANHATTAN",2019,0,0,0,0,0
SE,SE 0002M,"CONSTR. & RECONSTR. SANITARY & COMBINED SEWERS, MANHATTAN",2019,2837194,18538000,4748000,2418000,28541194
SE,SE 0002Q,"CONSTRUCTION AND RECONSTRUCTION OF SANITARY AND COMBINED SEWERS, QNS.",2019,0,0,0,0,0
SE,SE 0002Q,"CONSTRUCTION AND RECONSTRUCTION OF SANITARY AND COMBINED SEWERS, QNS.",2019,48112068,61603000,170625000,54617000,334957068
SE,SE 0002R,"CONST. & RECONST. OF SANITARY & COMBINED SEWERS, STATEN ISLAND",2019,0,0,0,0,0
SE,SE 0002R,"CONST. & RECONST. OF SANITARY & COMBINED SEWERS, STATEN ISLAND",2019,0,46225655,2426000,11085000,59736655
SE,SE 0004,HIGH LEVEL STORM SEWERS,2019,48440693,1000000,13968000,7353000,70761693
SE,SE 0005,STORM SEWER BEST MANAGEMENT PRACTICE (BMP),2019,17773375,13660000,0,0,31433375
SE,SE 0005,STORM SEWER BEST MANAGEMENT PRACTICE (BMP),2019,0,53822,0,0,53822
SE,SE 0200K,"CONSTR. & RECONSTR. STORM SEWERS, BROOKLYN",2019,32793604,20260000,3589000,4100000,60742604
SE,SE 0200M,"CONSTRUCTION AND RECONSTRUCTION OF STORM WATER SEWERS, MANHATTAN",2019,1081140,0,0,0,1081140
SE,SE 0200Q,"CONSTRUCTION & RECONSTRUCTION OF STORM SEWERS, QUEENS",2019,198576300,237223000,190762000,89947000,716508300
SE,SE 0200Q,"CONSTRUCTION & RECONSTRUCTION OF STORM SEWERS, QUEENS",2019,0,0,14199000,0,14199000
SE,SE 0200Q,"CONSTRUCTION & RECONSTRUCTION OF STORM SEWERS, QUEENS",2019,16000,0,0,0,16000
SE,SE 0200R,"CONSTRUCTION & RECONSTRUCTION OF STORM SEWERS, STATEN ISLAND",2019,6622912,113430000,13267000,35241000,168560912
SE,SE 0200X,"CONSTRUCTION & RECONSTRUCTION OF STORM SEWERS, BRONX",2019,1256625,8474000,0,0,9730625
SE,SE 0208,"STORM SEWER IN VICTORY BOULEVARD, ETC.",2019,0,0,0,4586999,4586999
SE,SE 0362,"SANITARY SEWERS IN WILLOWBROOK ROAD, ETC.",2019,0,0,0,0,0
SE,SE 0362,"SANITARY SEWERS IN WILLOWBROOK ROAD, ETC.",2019,0,0,0,2743997,2743997
SE,SE 0432,"ENGINEERING, ARCH., ADMINIS. & OTHER COSTS ETC., DEPT. OF ENV. PROT.",2019,0,0,0,0,0
SE,SE 0432,"ENGINEERING, ARCH., ADMINIS. & OTHER COSTS ETC., DEPT. OF ENV. PROT.",2019,0,0,0,10044001,10044001
SE,SE 0716,"LAND ACQUISITION, STORM WATER MANAGEMENT, STATEN ISLAND",2019,0,0,0,0,0
SE,SE 0740,"CONSTRUCTION OF SANITARY SEWERS IN ROCKLAND AVENUE, STATEN ISLAND",2019,0,0,0,0,0
SE,SE 0740,"CONSTRUCTION OF SANITARY SEWERS IN ROCKLAND AVENUE, STATEN ISLAND",2019,0,0,0,136000,136000
SE,SE 0750,"CONSTRUCTION AND RECONSTRUCTION OF CATCH BASINS, CITYWIDE",2019,0,0,0,0,0
SE,SE 0750,"CONSTRUCTION AND RECONSTRUCTION OF CATCH BASINS, CITYWIDE",2019,920238,1322000,3000000,0,5242238
SE,SE 0758,"GUNITING OF SEWERS, CITYWIDE",2019,0,0,0,0,0
SE,SE 0758,"GUNITING OF SEWERS, CITYWIDE",2019,4479000,0,0,0,4479000
SE,SE 0789,"STORM SEWER IN B. 63RD STREET, QUEENS",2019,0,0,0,4008038,4008038
SE,SE 087HW,SEWER CONTRACTS IN CONJUNCTION WITH DOT WORK,2019,0,0,0,0,0
SE,SE 087HW,SEWER CONTRACTS IN CONJUNCTION WITH DOT WORK,2019,0,98322,0,1284000,1382322
SE,SE 0944,"PRIVATE PORTION FOR HIGHWAY PROJECTS, CITYWIDE",2019,0,0,0,0,0
SE,SE 0944,"PRIVATE PORTION FOR HIGHWAY PROJECTS, CITYWIDE",2019,1711382,0,0,0,1711382
SE,SE 1000,"CONSTRUCTION OF SEWER PROJECTS, CITYWIDE",2019,1673185,0,0,0,1673185
SE,SE 1000,"CONSTRUCTION OF SEWER PROJECTS, CITYWIDE",2019,0,40000,0,0,40000
SE,SE 9336,"COMBINED SEWER, 80TH STREET",2019,0,0,0,0,0
SE,SE 9336,"COMBINED SEWER, 80TH STREET",2019,0,0,12200000,0,12200000
T,T  0005A,IMPROVEMENTS RAPID TRANSIT SYSTEM,2019,0,0,4000000,4000000,8000000
T,T  0007A,"NEW VEHICLES, FACILITIES FOR SURFACE AND MABSTOA",2019,0,0,1000000,1000000,2000000
T,T  0131,"MISCELLANEOUS RECONSTRUCTION TO LINES UNDER OPERATION, CITY WIDE",2019,0,35000000,35000000,35000000,105000000
